,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,California College Promise - Method A-? (unknown base),,,,,,,43,70,"$16,608",34,74,"$15,424",246,395,"$59,250",362,540,"$109,580",178,252,"$48,746",42,43,"$5,153",6,7,"$2,139",6,7,"$2,576",4,6,$506,2,2,$828,2,3,$828,2,2,$966,4,6,"$2,484",6,8,"$1,633",2,2,$506,,,,,,,,,,,,
,,California College Promise - Method A-1 based on TANF recipient status,82,130,"$13,460",48,66,"$13,200",42,58,"$9,708",57,79,"$11,294",,,,,,,,,,27,40,"$10,872",38,52,"$14,237",23,28,"$6,509",9,11,"$2,875",16,21,"$4,451",12,13,"$3,864",11,17,"$6,187",14,15,"$3,427",,,,2,3,$966,1,1,$138,,,,2,3,"$1,081",1,1,$276
,,California College Promise - Method A-2 based on SSI recipient status,33,53,"$6,219",58,94,"$5,353",68,114,"$8,853",63,117,"$9,700",,,,,,,,,,17,31,"$3,780",28,48,"$9,384",25,33,"$6,900",12,19,"$5,118",9,18,"$3,841",13,19,"$4,784",10,17,"$3,818",8,10,"$2,553",31,39,"$4,807",1,1,$46,,,,,,,,,,,,
,,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,1,1,$180,,,,,,,,,,2,3,$684,,,,,,,,,,4,4,"$1,725",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,"1,083","1,502","$193,537","1,040","1,495","$205,323",830,"1,291","$166,125",735,"1,080","$123,886",886,"1,333","$240,790","1,215","1,877","$417,377","1,538","2,408","$600,063","1,822","2,971","$891,927","1,768","2,990","$1,198,887","1,839","3,067","$1,315,936","1,842","3,119","$1,383,356","1,955","3,297","$1,407,846","2,011","3,503","$1,496,855","2,189","3,887","$1,625,203","2,200","3,904","$1,695,606","2,159","3,760","$1,567,210","1,759","3,062","$1,353,621","1,332","2,229","$913,866","1,329","2,080","$868,882","1,542","2,506","$1,091,795","1,422","2,043","$774,683"
,,California College Promise - Method C based on financial need,759,"1,307","$342,013",753,"1,234","$323,343",710,"1,200","$275,357",856,"1,512","$308,434",517,788,"$145,870",682,"1,058","$277,508",810,"1,296","$326,722",828,"1,389","$433,096",885,"1,504","$620,644",909,"1,568","$667,244",962,"1,669","$722,491","1,073","1,791","$768,226","1,085","1,857","$786,798","1,039","1,897","$823,101","1,116","1,964","$855,462","1,129","1,987","$840,535","1,040","1,811","$767,546",817,"1,393","$591,917",797,"1,346","$579,797",886,"1,474","$649,102","1,342","2,215","$1,010,038"
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,5,9,"$3,384",1,1,$322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,9,14,"$3,653",12,23,"$4,628",9,10,"$2,720",14,25,"$12,374",11,20,"$7,406",10,17,"$7,613",6,7,"$1,794",10,15,"$6,946",13,28,"$13,110",16,30,"$15,157",18,33,"$12,903",11,16,"$8,418",9,16,"$7,176",5,10,"$6,440",2,3,"$1,610",10,17,"$8,326"
,Grants Total,,446,"1,210","$1,305,784",377,"1,003","$1,060,263",350,"1,023","$1,076,864",457,"1,274","$1,522,813",554,"1,518","$1,940,842",762,"1,894","$2,945,692",996,"2,440","$3,822,943","1,027","2,449","$3,596,050","1,198","3,030","$4,324,689","1,321","3,127","$4,467,908","1,349","3,323","$4,838,006","1,275","3,689","$4,860,191","1,406","4,223","$5,225,662","1,591","5,136","$6,629,400","1,635","5,432","$7,542,144","1,790","6,050","$8,647,747","1,614","6,272","$7,418,839","2,864","8,998","$8,214,227","1,960","5,754","$6,527,681","1,410","5,158","$8,693,620","1,495","5,209","$9,141,056"
,,Academic Competitiveness Grant,,,,,,,10,16,"$7,100",13,23,"$10,725",18,32,"$13,100",12,14,"$7,450",30,43,"$16,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Basic Needs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,"$3,377",25,26,"$28,303",39,42,"$27,187"
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,"$26,250",9,14,"$37,500",17,23,"$52,500",9,14,"$38,250"
,,Cal Grant B,84,145,"$98,542",76,121,"$81,655",85,137,"$101,694",104,179,"$125,896",98,171,"$127,388",130,228,"$171,487",166,287,"$207,843",166,273,"$195,248",187,336,"$226,377",219,366,"$246,019",234,407,"$307,123",268,467,"$351,657",324,564,"$436,397",413,725,"$547,371",429,745,"$562,210",436,754,"$911,572",391,661,"$787,393",425,701,"$723,427",341,566,"$635,517",437,748,"$971,811",460,789,"$844,242"
,,Cal Grant C,,,,,,,,,,,,,5,10,"$2,808",,,,4,6,"$1,440",3,6,"$1,728",4,7,"$1,778",2,4,$958,9,18,"$4,718",10,18,"$4,378",17,28,"$6,159",24,41,"$19,831",32,61,"$29,949",25,45,"$49,895",18,30,"$27,814",5,7,"$6,688",2,3,"$2,821",1,1,$547,3,5,"$3,642"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,"$10,553",5,5,"$5,200",7,10,"$14,000",16,17,"$25,500",18,25,"$23,700",20,29,"$25,800"
,,CARE Grant,16,28,"$16,800",10,15,"$23,539",7,9,"$28,614",8,12,"$19,670",11,19,"$24,000",16,27,"$13,200",12,17,"$11,100",11,16,"$11,100",16,27,"$11,700",16,24,"$11,330",14,23,"$6,900",27,46,"$11,700",17,29,"$15,900",16,25,"$22,400",20,34,"$14,350",16,21,"$9,050",7,12,"$4,950",4,6,"$10,200",7,13,"$48,100",16,28,"$79,300",21,30,"$46,400"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,"1,054","$641,952","2,834","4,601","$3,097,073","1,579","1,609","$631,787",,,,,,
,,Chafee Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,"$10,784",5,7,"$15,000",2,4,"$10,000",8,13,"$25,723",4,6,"$14,167",3,6,"$19,500",3,6,"$15,000",8,10,"$25,000",7,10,"$25,000"
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,112,"$84,000",,,,,,,,,,,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,"$38,782",,,,,,,,,,,,
,,EOPS Grant,7,7,"$3,100",,,,,,,,,,38,38,"$13,425",28,28,"$9,850",40,40,"$9,850",40,40,"$9,850",41,41,"$11,775",67,67,"$15,425",65,65,"$10,200",69,69,"$10,200",253,253,"$29,400",260,260,"$24,125",242,242,"$24,225",257,257,"$24,205",209,318,"$32,435",200,322,"$64,900",204,350,"$148,775",294,484,"$215,270",323,514,"$232,900"
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,342,"$102,600",281,461,"$138,300",332,553,"$276,500",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,"$30,000",2,3,"$5,000",,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,57,"$16,240",46,77,"$26,900",67,84,"$29,378",61,85,"$31,384",156,252,"$98,406",62,93,"$26,462"
,,Other grant: non-institutional source,,,,,,,,,,,,,223,345,"$143,491",,,,,,,,,,,,,,,,,,,,,,,,,31,31,"$14,099",,,,405,405,"$486,000",308,394,"$347,434",30,33,"$18,441",17,21,"$8,942",32,42,"$33,766",32,33,"$15,752"
,,Pell Grant,443,746,"$1,111,067",372,616,"$875,632",342,566,"$849,245",451,764,"$1,248,413",548,903,"$1,616,630",760,"1,274","$2,610,666",993,"1,706","$3,441,377","1,025","1,746","$3,346,385","1,194","2,144","$4,032,542","1,298","2,218","$4,157,669","1,321","2,339","$4,470,135","1,249","2,232","$4,336,131","1,339","2,404","$4,536,672","1,496","2,858","$5,570,169","1,572","2,993","$6,112,721","1,659","3,115","$6,330,659","1,280","2,334","$4,772,563","1,035","1,828","$3,556,866","1,030","1,882","$4,009,871","1,267","2,320","$5,604,478","1,396","2,627","$6,539,386"
,,SEOG (Supplemental Educational Opportunity Grant),175,284,"$76,275",185,251,"$79,437",177,295,"$90,211",213,296,"$118,109",,,,211,323,"$133,039",274,341,"$134,658",243,368,"$31,739",309,475,"$40,517",330,448,"$36,507",333,471,"$38,930",328,515,"$43,525",313,479,"$52,050",341,524,"$55,905",487,738,"$76,518",515,772,"$82,092",586,835,"$88,295",608,937,"$90,458",616,826,"$80,247",470,597,"$127,817",346,495,"$98,441"
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,615,"$712,171",346,596,"$701,758",294,509,"$630,954",272,440,"$527,046",232,356,"$843,860",333,602,"$1,432,722",324,528,"$1,217,594"
,Loans Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,49,"$91,519",27,79,"$159,884",23,77,"$167,090",17,49,"$126,187",23,71,"$182,352"
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,25,"$45,037",23,39,"$77,917",21,41,"$80,268",14,24,"$52,952",20,36,"$79,923"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,24,"$46,482",23,40,"$81,967",18,36,"$86,822",15,25,"$73,235",20,35,"$102,429"
,Scholarship Total,,124,174,"$86,191",137,201,"$110,914",150,224,"$120,625",122,187,"$93,275",106,144,"$114,279",106,138,"$90,161",112,149,"$77,468",137,214,"$130,985",188,271,"$134,012",240,321,"$142,075",284,373,"$155,277",286,406,"$153,500",335,478,"$151,807",404,569,"$245,976",459,597,"$249,609",419,574,"$199,906",390,565,"$301,003",344,527,"$364,254",293,437,"$355,281",322,460,"$493,933",372,523,"$433,551"
,,Scholarship: institutional source,124,174,"$86,191",133,191,"$102,474",145,207,"$112,675",108,161,"$78,225",106,144,"$114,279",106,138,"$90,161",112,149,"$77,468",137,214,"$130,985",188,271,"$134,012",240,321,"$142,075",284,373,"$155,277",286,406,"$153,500",327,450,"$137,505",396,542,"$231,675",450,570,"$235,308",411,547,"$184,306",304,427,"$176,530",318,427,"$230,254",277,359,"$216,881",315,418,"$374,983",349,443,"$297,216"
,,Scholarship: non-institutional source,,,,10,10,"$8,440",17,17,"$7,950",26,26,"$15,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,112,"$108,873",55,74,"$118,400",29,48,"$118,900",24,42,"$118,950",32,52,"$118,751"
,,Scholarship: Osher Scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,28,"$14,302",15,27,"$14,301",16,27,"$14,301",15,27,"$15,600",13,26,"$15,600",16,26,"$15,600",17,30,"$19,500",,,,19,28,"$17,584"
,Work Study Total,,273,494,"$381,508",271,479,"$388,712",252,463,"$389,074",306,494,"$581,560",59,123,"$119,438",196,386,"$379,130",197,346,"$337,528",327,585,"$631,652",33,48,"$46,692",267,705,"$556,052",245,395,"$562,351",246,413,"$661,227",242,396,"$746,435",242,405,"$747,629",223,388,"$785,964",232,446,"$730,992",50,95,"$243,734",140,243,"$454,919",182,299,"$643,875",,,,185,320,"$852,904"
,,California State Work Study (SWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,26,54,"$50,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CalWORKs Work Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,34,"$104,414",14,18,"$58,343",26,44,"$158,827",20,35,"$100,331",4,7,"$26,476",,,,3,3,"$4,896",,,,,,
,,EOPS Work Study,15,26,"$16,153",7,12,"$15,725",1,3,"$2,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Federal Work Study (FWS) (Federal share),63,104,"$79,365",73,110,"$86,151",70,124,"$92,837",69,101,"$100,094",58,93,"$84,424",51,107,"$97,924",34,80,"$79,922",26,41,"$44,684",33,48,"$46,692",23,37,"$41,036",22,32,"$45,150",26,42,"$53,765",14,21,"$57,867",10,18,"$59,715",20,30,"$79,015",15,28,"$82,701",16,26,"$90,316",36,46,"$93,990",21,38,"$77,922",,,,17,34,"$90,314"
,,Other Work Study and matching funds,223,364,"$285,990",217,357,"$286,836",217,336,"$294,010",239,393,"$481,466",20,30,"$35,014",158,279,"$281,206",171,266,"$257,606",307,544,"$586,968",,,,251,614,"$464,277",230,363,"$517,201",230,371,"$607,462",209,341,"$584,154",225,369,"$629,571",186,314,"$548,122",226,383,"$547,960",43,62,"$126,942",106,197,"$360,929",162,258,"$561,057",,,,172,286,"$762,590"
Ventura Total,,,"5,976","15,686","$8,343,031","5,920","16,888","$9,598,279","6,079","16,744","$8,961,895","6,450","17,765","$10,647,707","7,658","21,180","$13,837,390","9,094","26,062","$19,538,699","9,826","27,812","$21,990,950","11,292","32,999","$29,124,546","11,374","32,030","$29,234,091","11,261","30,160","$25,657,996","11,410","31,018","$26,221,061","11,709","33,132","$25,699,319","11,345","31,765","$24,877,280","11,062","32,523","$26,181,652","11,303","31,514","$26,320,268","11,002","31,847","$28,140,090","10,566","35,466","$27,501,628","10,388","40,870","$33,929,024","9,580","35,167","$30,184,873","10,005","35,091","$33,406,534","10,496","35,507","$37,072,979"
,California College Promise Grant Total,,"5,906","10,068","$2,144,876","5,849","10,362","$2,321,670","6,010","10,559","$2,048,033","6,343","11,018","$1,984,200","7,515","12,961","$2,380,740","8,872","15,415","$3,496,595","9,545","16,602","$3,783,650","10,998","19,139","$5,943,525","11,121","19,041","$7,599,844","10,986","18,896","$7,500,346","11,188","19,329","$7,670,086","11,510","19,828","$7,707,806","11,144","19,182","$7,486,270","10,883","18,763","$7,249,945","11,141","19,268","$7,496,045","10,776","18,306","$7,100,514","10,322","19,992","$6,983,452","9,458","18,530","$6,257,841","9,040","18,033","$6,220,954","9,764","19,759","$6,787,024","10,220","20,131","$6,962,305"
,,BOGW - Mehtod A-4 based on Veteran's or National Guard dependent status,131,223,"$53,632",117,191,"$48,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-? (unknown base),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,"$4,692",13,22,"$4,715",8,15,"$2,898",4,6,"$1,541",1,2,$782,1,1,$276,,,,,,,,,
,,California College Promise - Method A-1 based on TANF recipient status,221,298,"$66,342",218,309,"$71,552",194,274,"$52,679",230,323,"$63,260",226,326,"$58,380",267,427,"$87,419",93,122,"$22,113",35,45,"$11,410",6,9,"$3,128",11,15,"$4,140",34,41,"$8,901",16,16,"$4,048",12,20,"$7,682",14,22,"$7,176",6,7,"$1,817",8,10,"$2,806",8,11,"$3,772",5,5,"$1,472",,,,1,1,$276,1,1,$276
,,California College Promise - Method A-2 based on SSI recipient status,250,416,"$52,972",222,369,"$42,588",224,372,"$38,203",164,268,"$26,350",147,243,"$22,830",176,275,"$29,319",169,255,"$29,718",159,256,"$35,964",102,155,"$24,449",47,71,"$10,879",52,76,"$12,926",50,79,"$16,491",51,76,"$13,938",44,65,"$10,902",37,58,"$13,524",36,50,"$8,211",13,17,"$4,324",5,8,"$1,886",5,5,$736,2,3,"$1,150",3,5,"$2,392"
,,California College Promise - Method A-3 based on general assistance recipient status,6,7,$598,5,9,"$2,132",3,3,$533,,,,3,4,$980,5,6,$437,2,2,$286,1,1,$78,,,,,,,1,2,$874,,,,1,1,$138,1,2,"$1,196",2,3,$874,1,1,$46,,,,,,,1,1,$138,,,,,,
,,California College Promise - Method B based on income standards,"3,935","6,437","$1,376,649","3,996","6,870","$1,523,912","4,083","6,922","$1,325,557","4,174","6,986","$1,228,500","4,703","7,788","$1,387,910","5,824","9,755","$2,191,372","6,733","11,378","$2,573,363","7,453","12,516","$3,829,926","7,574","12,605","$4,973,980","7,162","12,004","$4,644,919","7,269","12,192","$4,784,828","7,469","12,496","$4,797,202","7,046","11,696","$4,458,895","6,661","11,260","$4,288,396","6,488","10,797","$4,044,964","5,904","9,645","$3,536,434","5,291","8,530","$3,176,796","4,737","7,504","$2,763,358","4,444","7,069","$2,725,063","4,702","7,516","$2,855,818","3,608","5,279","$2,021,010"
,,California College Promise - Method C based on financial need,"1,653","2,687","$594,683","1,565","2,614","$633,386","1,681","2,797","$589,730","1,964","3,277","$633,280","2,628","4,412","$874,990","2,919","4,770","$1,145,136","2,790","4,639","$1,111,604","3,634","6,133","$2,007,776","3,690","6,078","$2,520,202","3,947","6,588","$2,747,143","4,044","6,818","$2,776,123","4,231","7,036","$2,809,450","4,285","7,149","$2,894,757","4,202","7,158","$2,828,195","4,585","7,726","$3,043,176","4,584","7,590","$2,956,006","4,701","7,652","$2,973,739","4,378","7,054","$2,753,100","4,385","7,023","$2,751,401","4,822","7,830","$3,178,051","6,754","10,606","$4,160,102"
,,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,"$4,646",28,38,"$16,468",13,20,"$9,384",9,14,"$6,992",7,13,"$6,302",13,21,"$11,178",12,20,"$9,752"
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,436,"$288,650",444,755,"$490,314","1,929","3,596","$751,221","2,083","3,826","$687,471","2,068","3,822","$696,696","2,293","4,303","$703,245","2,350","4,125","$730,064"
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,116,191,"$41,331",99,164,"$32,810",113,188,"$35,650",106,182,"$42,912",127,206,"$46,566",103,188,"$58,371",114,193,"$77,625",118,218,"$93,265",118,198,"$84,732",121,200,"$79,764",131,230,"$106,168",131,234,"$109,365",125,217,"$95,496",129,211,"$88,688",103,164,"$63,434",74,118,"$43,286",61,100,"$40,618",56,85,"$37,306",59,95,"$38,709"
,,"Fee Waiver – Dependent of (surviving spouse and children) of deceased victims of September 11, 2001 terrorist attack",,,,,,,,,,,,,,,,,,,,,,,,,1,1,$460,,,,1,2,"$1,702",1,1,$851,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grants Total,,"1,646","4,602","$4,681,401","1,760","5,171","$5,199,934","1,698","4,904","$4,856,868","1,933","5,264","$5,838,941","2,307","6,455","$7,662,221","3,188","8,746","$12,057,447","3,826","9,355","$14,106,881","5,027","11,314","$17,474,460","4,554","10,659","$16,387,775","4,097","9,826","$14,925,937","4,178","10,454","$15,792,703","3,897","12,262","$15,741,049","3,703","11,658","$15,333,869","3,826","12,961","$17,107,830","3,589","11,608","$17,335,972","3,975","12,987","$19,649,958","3,988","15,169","$19,781,465","6,310","21,976","$26,717,623","5,617","16,737","$22,923,642","3,793","14,975","$25,643,936","4,094","14,894","$28,677,049"
,,Academic Competitiveness Grant,,,,,,,11,18,"$7,560",9,16,"$8,475",46,74,"$31,600",76,131,"$54,923",19,37,"$18,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"$6,000",,,,,,,,,,,,
,,Basic Needs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,119,"$104,674",115,117,"$100,834",118,118,"$102,724"
,,Bureau of Indian Affairs (BIA) Grant,1,2,"$3,000",,,,,,,,,,1,2,"$1,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,"$16,500",22,37,"$82,500",25,40,"$93,000",18,29,"$69,750"
,,Cal Grant B,354,613,"$444,454",404,705,"$510,504",439,753,"$534,404",444,750,"$532,149",497,881,"$634,709",501,886,"$632,252",510,919,"$644,350",631,"1,119","$790,650",686,"1,230","$837,262",736,"1,318","$883,582",863,"1,570","$1,196,605",958,"1,715","$1,301,754","1,027","1,867","$1,425,318","1,112","2,021","$1,521,888","1,056","1,904","$1,450,566","1,116","1,985","$1,884,231","1,092","1,927","$1,856,652","1,355","2,315","$2,154,571","1,413","2,411","$2,328,008","1,569","2,746","$2,586,575","1,911","3,316","$3,094,669"
,,Cal Grant C,18,32,"$8,568",25,43,"$11,520",33,52,"$13,392",36,61,"$15,912",31,54,"$13,104",23,41,"$10,152",17,28,"$6,264",13,22,"$5,040",21,34,"$7,664",23,38,"$8,146",23,37,"$7,871",17,30,"$6,572",19,26,"$5,050",25,42,"$17,433",28,48,"$20,699",23,41,"$28,632",26,42,"$33,816",10,19,"$13,565",1,1,$547,3,5,"$2,462",14,28,"$18,709"
,,CARE Grant,35,64,"$67,378",49,94,"$63,054",39,77,"$54,800",44,91,"$47,584",38,76,"$53,678",36,70,"$66,961",29,43,"$26,532",27,44,"$30,035",23,37,"$42,955",12,22,"$40,561",21,36,"$40,242",23,36,"$55,709",26,41,"$56,900",17,26,"$26,897",13,21,"$16,764",16,24,"$21,517",10,19,"$17,547",13,22,"$17,824",14,20,"$41,230",13,29,"$54,372",13,22,"$49,500"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,777","2,780","$2,095,769","6,143","10,876","$10,406,520","4,951","4,956","$2,514,000",,,,,,
,,Chafee Grant,,,,2,4,"$10,000",5,9,"$20,395",5,11,"$23,135",4,7,"$17,500",,,,5,9,"$22,500",,,,8,10,"$27,256",12,17,"$42,500",8,13,"$35,000",,,,23,23,"$92,500",22,37,"$97,500",25,41,"$101,667",26,40,"$100,000",23,35,"$86,332",23,35,"$113,703",28,43,"$115,000",25,41,"$102,500",20,33,"$82,500"
,,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,"$2,484",,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,128,"$101,665",,,,,,,1,1,$750,,,
,,EOPS Grant,267,473,"$132,997",318,501,"$182,287",291,515,"$164,770",322,490,"$170,996",336,525,"$81,197",385,706,"$129,210",254,370,"$67,486",297,414,"$42,108",246,400,"$29,984",296,447,"$63,047",263,437,"$43,700",305,481,"$144,088",278,489,"$130,950",430,503,"$125,200",388,689,"$174,600",366,540,"$286,628",321,595,"$267,750",429,699,"$314,154",325,536,"$238,672",405,670,"$301,500",328,573,"$612,100"
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,"1,247","$373,937",823,"1,414","$424,200",876,"1,443","$721,500",,,,,,,,,,,,,,,,,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,427,"$253,307",151,153,"$146,396",116,116,"$112,000",,,,,,,,,
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,344,"$344,000",845,882,"$825,377",45,52,"$36,627",52,82,"$35,752",8,8,"$3,253",,,
,,Other grant: non-institutional source,,,,44,79,"$40,229",34,56,"$35,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,371,"$239,456",,,,,,,,,,,,,9,9,"$11,500","1,061","1,578","$1,195,040",1,1,"$1,000"
,,Pell Grant,"1,631","2,835","$3,863,336","1,738","3,044","$4,187,639","1,669","2,949","$3,898,130","1,917","3,391","$4,912,976","2,293","4,074","$6,616,721","3,178","5,841","$10,866,049","3,822","6,988","$13,035,359","5,024","8,466","$16,231,927","4,546","7,788","$15,094,354","4,070","7,110","$13,713,101","4,129","7,339","$14,262,635","3,829","6,768","$13,664,256","3,626","6,480","$13,001,401","3,665","7,043","$14,136,775","3,507","6,645","$13,639,196","3,721","7,169","$14,647,315","3,100","5,743","$12,085,053","2,886","5,376","$11,463,030","3,260","5,915","$13,348,390","3,584","6,824","$16,311,046","3,970","7,457","$19,515,791"
,,SEOG (Supplemental Educational Opportunity Grant),348,583,"$161,668",410,701,"$194,701",295,475,"$128,287",264,454,"$127,714",440,762,"$212,112",597,"1,071","$297,900",533,961,"$286,085",809,"1,249","$374,700",747,"1,160","$348,300",529,874,"$175,000",622,"1,022","$206,650","1,231","1,985","$194,733",891,"1,318","$197,550",989,"1,475","$221,181",441,730,"$238,315",610,867,"$238,483","1,049","1,316","$385,890",712,915,"$269,855",612,856,"$244,571",625,863,"$237,395",882,"1,221","$356,749"
,,State Emergency Aid (AB540),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,85,"$153,985",1,1,$500
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,"1,530","$1,694,165",929,"1,550","$1,845,845",861,"1,544","$1,870,734",931,"1,544","$1,799,274","1,005","1,752","$3,858,798","1,087","1,968","$4,501,224","1,358","2,095","$4,773,057"
,Loans Total,,362,778,"$1,391,875",420,965,"$1,748,230",392,950,"$1,744,059",457,"1,141","$2,496,127",547,"1,465","$3,477,311",587,"1,495","$3,565,661",566,"1,585","$3,771,136",877,"2,411","$5,424,845",785,"2,193","$4,895,137",488,"1,362","$3,002,813",417,"1,152","$2,491,219",343,958,"$2,030,658",301,840,"$1,812,738",259,727,"$1,591,074",200,555,"$1,208,081",177,474,"$1,106,407",94,274,"$627,517",108,292,"$683,106",123,336,"$780,149",111,295,"$701,547",152,417,"$1,148,934"
